scientific_name,park_name,observations,common_names,category,conservation_status
Acer negundo var. violaceum,Yellowstone National Park,222,Boxelder,Vascular Plant,Not Protected
Acer negundo var. violaceum,Yosemite National Park,164,Boxelder,Vascular Plant,Not Protected
Acer nigrum,Bryce National Park,110,Black Maple,Vascular Plant,Not Protected
Acer nigrum,Great Smoky Mountains National Park,86,Black Maple,Vascular Plant,Not Protected
Acer nigrum,Yellowstone National Park,258,Black Maple,Vascular Plant,Not Protected
Acer nigrum,Yosemite National Park,156,Black Maple,Vascular Plant,Not Protected
Acer pensylvanicum,Bryce National Park,91,"Striped Maple, Striped Maple, Moosewood",Vascular Plant,Not Protected
Acer pensylvanicum,Great Smoky Mountains National Park,96,"Striped Maple, Striped Maple, Moosewood",Vascular Plant,Not Protected
Acer pensylvanicum,Yellowstone National Park,284,"Striped Maple, Striped Maple, Moosewood",Vascular Plant,Not Protected
Acer pensylvanicum,Yosemite National Park,134,"Striped Maple, Striped Maple, Moosewood",Vascular Plant,Not Protected
Acer platanoides,Bryce National Park,83,Norway Maple,Vascular Plant,Not Protected
Acer platanoides,Great Smoky Mountains National Park,53,Norway Maple,Vascular Plant,Not Protected
Acer platanoides,Yellowstone National Park,243,Norway Maple,Vascular Plant,Not Protected
Acer platanoides,Yosemite National Park,189,Norway Maple,Vascular Plant,Not Protected
Acer rubrum var. rubrum,Bryce National Park,114,Red Maple,Vascular Plant,Not Protected
Acer rubrum var. rubrum,Great Smoky Mountains National Park,67,Red Maple,Vascular Plant,Not Protected
Acer rubrum var. rubrum,Yellowstone National Park,274,Red Maple,Vascular Plant,Not Protected
Acer rubrum var. rubrum,Yosemite National Park,147,Red Maple,Vascular Plant,Not Protected
Acer rubrum var. trilobum,Bryce National Park,99,Trident Maple,Vascular Plant,Not Protected
Acer rubrum var. trilobum,Great Smoky Mountains National Park,105,Trident Maple,Vascular Plant,Not Protected
Acer rubrum var. trilobum,Yellowstone National Park,251,Trident Maple,Vascular Plant,Not Protected
Acer rubrum var. trilobum,Yosemite National Park,110,Trident Maple,Vascular Plant,Not Protected
Acer saccharinum,Bryce National Park,121,Silver Maple,Vascular Plant,Not Protected
Acer saccharinum,Great Smoky Mountains National Park,86,Silver Maple,Vascular Plant,Not Protected
Acer saccharinum,Yellowstone National Park,229,Silver Maple,Vascular Plant,Not Protected
Acer saccharinum,Yosemite National Park,167,Silver Maple,Vascular Plant,Not Protected
Acer saccharum,Bryce National Park,124,Sugar Maple,Vascular Plant,Not Protected
Acer saccharum,Great Smoky Mountains National Park,59,Sugar Maple,Vascular Plant,Not Protected
Acer saccharum,Yellowstone National Park,236,Sugar Maple,Vascular Plant,Not Protected
Acer saccharum,Yosemite National Park,116,Sugar Maple,Vascular Plant,Not Protected
Acer spicatum,Bryce National Park,89,Mountain Maple,Vascular Plant,Not Protected
Acer spicatum,Great Smoky Mountains National Park,82,Mountain Maple,Vascular Plant,Not Protected
Acer spicatum,Yellowstone National Park,263,Mountain Maple,Vascular Plant,Not Protected
Acer spicatum,Yosemite National Park,143,Mountain Maple,Vascular Plant,Not Protected
Achillea millefolium,Bryce National Park,99,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",Vascular Plant,Not Protected
Achillea millefolium,Great Smoky Mountains National Park,45,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",Vascular Plant,Not Protected
Achillea millefolium,Yellowstone National Park,270,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",Vascular Plant,Not Protected
Achillea millefolium,Yosemite National Park,168,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",Vascular Plant,Not Protected
Achillea millefolium var. occidentalis,Bryce National Park,119,Yarrow,Vascular Plant,Not Protected
Achillea millefolium var. occidentalis,Great Smoky Mountains National Park,87,Yarrow,Vascular Plant,Not Protected
Achillea millefolium var. occidentalis,Yellowstone National Park,277,Yarrow,Vascular Plant,Not Protected
Achillea millefolium var. occidentalis,Yosemite National Park,131,Yarrow,Vascular Plant,Not Protected
Achnatherum X bloomeri,Bryce National Park,91,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",Vascular Plant,Not Protected
Achnatherum X bloomeri,Great Smoky Mountains National Park,82,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",Vascular Plant,Not Protected
Achnatherum X bloomeri,Yellowstone National Park,261,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",Vascular Plant,Not Protected
Achnatherum X bloomeri,Yosemite National Park,155,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",Vascular Plant,Not Protected
Achnatherum contractum,Bryce National Park,122,Contracted Ricegrass,Vascular Plant,Species of Concern
Achnatherum contractum,Great Smoky Mountains National Park,43,Contracted Ricegrass,Vascular Plant,Species of Concern
Achnatherum contractum,Yellowstone National Park,219,Contracted Ricegrass,Vascular Plant,Species of Concern
Achnatherum contractum,Yosemite National Park,165,Contracted Ricegrass,Vascular Plant,Species of Concern
Achnatherum hymenoides,Bryce National Park,90,Indian Ricegrass,Vascular Plant,Not Protected
Achnatherum hymenoides,Great Smoky Mountains National Park,88,Indian Ricegrass,Vascular Plant,Not Protected
Achnatherum hymenoides,Yellowstone National Park,233,Indian Ricegrass,Vascular Plant,Not Protected
Achnatherum hymenoides,Yosemite National Park,156,Indian Ricegrass,Vascular Plant,Not Protected
Achnatherum latiglume,Bryce National Park,92,Sierra Needlegrass,Vascular Plant,Not Protected
Achnatherum latiglume,Great Smoky Mountains National Park,76,Sierra Needlegrass,Vascular Plant,Not Protected
Achnatherum latiglume,Yellowstone National Park,233,Sierra Needlegrass,Vascular Plant,Not Protected
Achnatherum latiglume,Yosemite National Park,137,Sierra Needlegrass,Vascular Plant,Not Protected
Achnatherum lemmonii,Bryce National Park,87,Lemmon's Needlegrass,Vascular Plant,Not Protected
Achnatherum lemmonii,Great Smoky Mountains National Park,100,Lemmon's Needlegrass,Vascular Plant,Not Protected
Achnatherum lemmonii,Yellowstone National Park,245,Lemmon's Needlegrass,Vascular Plant,Not Protected
Achnatherum lemmonii,Yosemite National Park,149,Lemmon's Needlegrass,Vascular Plant,Not Protected
Achnatherum lettermanii,Bryce National Park,63,"Letterman Needlegrass, Letterman's Needlegrass",Vascular Plant,Not Protected
Achnatherum lettermanii,Great Smoky Mountains National Park,60,"Letterman Needlegrass, Letterman's Needlegrass",Vascular Plant,Not Protected
Achnatherum lettermanii,Yellowstone National Park,252,"Letterman Needlegrass, Letterman's Needlegrass",Vascular Plant,Not Protected
Achnatherum lettermanii,Yosemite National Park,129,"Letterman Needlegrass, Letterman's Needlegrass",Vascular Plant,Not Protected
Achnatherum nelsonii ssp. dorei,Bryce National Park,101,"Columbia Needlegrass, Dore's Needlegrass",Vascular Plant,Not Protected
Achnatherum nelsonii ssp. dorei,Great Smoky Mountains National Park,63,"Columbia Needlegrass, Dore's Needlegrass",Vascular Plant,Not Protected
Achnatherum nelsonii ssp. dorei,Yellowstone National Park,221,"Columbia Needlegrass, Dore's Needlegrass",Vascular Plant,Not Protected
Achnatherum nelsonii ssp. dorei,Yosemite National Park,151,"Columbia Needlegrass, Dore's Needlegrass",Vascular Plant,Not Protected
Achnatherum nevadense,Bryce National Park,74,Nevada Needlegrass,Vascular Plant,Not Protected
Achnatherum nevadense,Great Smoky Mountains National Park,36,Nevada Needlegrass,Vascular Plant,Not Protected
Achnatherum nevadense,Yellowstone National Park,272,Nevada Needlegrass,Vascular Plant,Not Protected
Achnatherum nevadense,Yosemite National Park,149,Nevada Needlegrass,Vascular Plant,Not Protected
Achnatherum occidentale,Bryce National Park,106,Western Needlegrass,Vascular Plant,Not Protected
Achnatherum occidentale,Great Smoky Mountains National Park,73,Western Needlegrass,Vascular Plant,Not Protected
Achnatherum occidentale,Yellowstone National Park,258,Western Needlegrass,Vascular Plant,Not Protected
Achnatherum occidentale,Yosemite National Park,171,Western Needlegrass,Vascular Plant,Not Protected
Achnatherum occidentale ssp. californicum,Bryce National Park,77,California Needlegrass,Vascular Plant,Not Protected
Achnatherum occidentale ssp. californicum,Great Smoky Mountains National Park,93,California Needlegrass,Vascular Plant,Not Protected
Achnatherum occidentale ssp. californicum,Yellowstone National Park,235,California Needlegrass,Vascular Plant,Not Protected
Achnatherum occidentale ssp. californicum,Yosemite National Park,174,California Needlegrass,Vascular Plant,Not Protected
Achnatherum occidentale ssp. occidentale,Bryce National Park,122,"Western Needle Grass, Western Needlegrass",Vascular Plant,Not Protected
Achnatherum occidentale ssp. occidentale,Great Smoky Mountains National Park,68,"Western Needle Grass, Western Needlegrass",Vascular Plant,Not Protected
Achnatherum occidentale ssp. occidentale,Yellowstone National Park,233,"Western Needle Grass, Western Needlegrass",Vascular Plant,Not Protected
Achnatherum occidentale ssp. occidentale,Yosemite National Park,148,"Western Needle Grass, Western Needlegrass",Vascular Plant,Not Protected
Achnatherum occidentale ssp. pubescens,Bryce National Park,58,"Elmer's Needlegrass, Pubescent Western Needlegrass",Vascular Plant,Not Protected
Achnatherum occidentale ssp. pubescens,Great Smoky Mountains National Park,57,"Elmer's Needlegrass, Pubescent Western Needlegrass",Vascular Plant,Not Protected
Achnatherum occidentale ssp. pubescens,Yellowstone National Park,202,"Elmer's Needlegrass, Pubescent Western Needlegrass",Vascular Plant,Not Protected
Achnatherum occidentale ssp. pubescens,Yosemite National Park,148,"Elmer's Needlegrass, Pubescent Western Needlegrass",Vascular Plant,Not Protected
Achnatherum pinetorum,Bryce National Park,101,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",Vascular Plant,Not Protected
Achnatherum pinetorum,Great Smoky Mountains National Park,75,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",Vascular Plant,Not Protected
Achnatherum pinetorum,Yellowstone National Park,288,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",Vascular Plant,Not Protected
Achnatherum pinetorum,Yosemite National Park,129,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",Vascular Plant,Not Protected
Achnatherum richardsonii,Bryce National Park,76,"Richardson Needlegrass, Richardson's Needlegrass",Vascular Plant,Not Protected
Achnatherum richardsonii,Great Smoky Mountains National Park,96,"Richardson Needlegrass, Richardson's Needlegrass",Vascular Plant,Not Protected
Achnatherum richardsonii,Yellowstone National Park,255,"Richardson Needlegrass, Richardson's Needlegrass",Vascular Plant,Not Protected
Achnatherum richardsonii,Yosemite National Park,143,"Richardson Needlegrass, Richardson's Needlegrass",Vascular Plant,Not Protected
Achnatherum thurberianum,Bryce National Park,71,Thurber's Needlegrass,Vascular Plant,Not Protected
Achnatherum thurberianum,Great Smoky Mountains National Park,73,Thurber's Needlegrass,Vascular Plant,Not Protected
Achnatherum thurberianum,Yellowstone National Park,251,Thurber's Needlegrass,Vascular Plant,Not Protected
Achnatherum thurberianum,Yosemite National Park,148,Thurber's Needlegrass,Vascular Plant,Not Protected
Aconitum columbianum,Bryce National Park,63,Columbian Monkshood,Vascular Plant,Not Protected
Aconitum columbianum,Great Smoky Mountains National Park,77,Columbian Monkshood,Vascular Plant,Not Protected
Aconitum columbianum,Yellowstone National Park,242,Columbian Monkshood,Vascular Plant,Not Protected
Aconitum columbianum,Yosemite National Park,136,Columbian Monkshood,Vascular Plant,Not Protected
Aconitum columbianum ssp. columbianum,Bryce National Park,112,Columbian Monkshood,Vascular Plant,Not Protected
Aconitum columbianum ssp. columbianum,Great Smoky Mountains National Park,91,Columbian Monkshood,Vascular Plant,Not Protected
Aconitum columbianum ssp. columbianum,Yellowstone National Park,242,Columbian Monkshood,Vascular Plant,Not Protected
Aconitum columbianum ssp. columbianum,Yosemite National Park,162,Columbian Monkshood,Vascular Plant,Not Protected
Aconitum uncinatum,Bryce National Park,115,"Monk's Hood, Blue Monkshood",Vascular Plant,Not Protected
Aconitum uncinatum,Great Smoky Mountains National Park,77,"Monk's Hood, Blue Monkshood",Vascular Plant,Not Protected
Aconitum uncinatum,Yellowstone National Park,248,"Monk's Hood, Blue Monkshood",Vascular Plant,Not Protected
Aconitum uncinatum,Yosemite National Park,142,"Monk's Hood, Blue Monkshood",Vascular Plant,Not Protected
Acorus calamus,Bryce National Park,121,Sweetflag,Vascular Plant,Not Protected
Acorus calamus,Great Smoky Mountains National Park,63,Sweetflag,Vascular Plant,Not Protected
Acorus calamus,Yellowstone National Park,232,Sweetflag,Vascular Plant,Not Protected
Acorus calamus,Yosemite National Park,178,Sweetflag,Vascular Plant,Not Protected
Acris crepitans crepitans,Bryce National Park,112,Northern Cricket Frog,Amphibian,Not Protected
Acris crepitans crepitans,Great Smoky Mountains National Park,59,Northern Cricket Frog,Amphibian,Not Protected
Acris crepitans crepitans,Yellowstone National Park,228,Northern Cricket Frog,Amphibian,Not Protected
Acris crepitans crepitans,Yosemite National Park,132,Northern Cricket Frog,Amphibian,Not Protected
Acrobolbus ciliatus,Bryce National Park,114,Acrobolbus,Nonvascular Plant,Not Protected
Acrobolbus ciliatus,Great Smoky Mountains National Park,77,Acrobolbus,Nonvascular Plant,Not Protected
Acrobolbus ciliatus,Yellowstone National Park,233,Acrobolbus,Nonvascular Plant,Not Protected
Acrobolbus ciliatus,Yosemite National Park,131,Acrobolbus,Nonvascular Plant,Not Protected
Actaea pachypoda,Bryce National Park,92,White Baneberry,Vascular Plant,Not Protected
Actaea pachypoda,Great Smoky Mountains National Park,78,White Baneberry,Vascular Plant,Not Protected
Actaea pachypoda,Yellowstone National Park,225,White Baneberry,Vascular Plant,Not Protected
Actaea pachypoda,Yosemite National Park,112,White Baneberry,Vascular Plant,Not Protected
Actaea rubra,Bryce National Park,141,"Red Baneberry, Western Baneberry",Vascular Plant,Not Protected
Actaea rubra,Great Smoky Mountains National Park,77,"Red Baneberry, Western Baneberry",Vascular Plant,Not Protected
Actaea rubra,Yellowstone National Park,219,"Red Baneberry, Western Baneberry",Vascular Plant,Not Protected
Actaea rubra,Yosemite National Park,151,"Red Baneberry, Western Baneberry",Vascular Plant,Not Protected
Actitis macularia,Bryce National Park,91,Spotted Sandpiper,Bird,Not Protected
Actitis macularia,Great Smoky Mountains National Park,66,Spotted Sandpiper,Bird,Not Protected
Actitis macularia,Yellowstone National Park,265,Spotted Sandpiper,Bird,Not Protected
Actitis macularia,Yosemite National Park,156,Spotted Sandpiper,Bird,Not Protected
Actitis macularius,Bryce National Park,86,Spotted Sandpiper,Bird,Not Protected
Actitis macularius,Great Smoky Mountains National Park,87,Spotted Sandpiper,Bird,Not Protected
Actitis macularius,Yellowstone National Park,290,Spotted Sandpiper,Bird,Not Protected
Actitis macularius,Yosemite National Park,181,Spotted Sandpiper,Bird,Not Protected
Adenocaulon bicolor,Bryce National Park,123,American Trailplant,Vascular Plant,Not Protected
Adenocaulon bicolor,Great Smoky Mountains National Park,97,American Trailplant,Vascular Plant,Not Protected
Adenocaulon bicolor,Yellowstone National Park,210,American Trailplant,Vascular Plant,Not Protected
Adenocaulon bicolor,Yosemite National Park,130,American Trailplant,Vascular Plant,Not Protected
Adenostoma fasciculatum,Bryce National Park,128,Chamise,Vascular Plant,Not Protected
Adenostoma fasciculatum,Great Smoky Mountains National Park,57,Chamise,Vascular Plant,Not Protected
Adenostoma fasciculatum,Yellowstone National Park,245,Chamise,Vascular Plant,Not Protected
Adenostoma fasciculatum,Yosemite National Park,148,Chamise,Vascular Plant,Not Protected
Adiantum aleuticum,Bryce National Park,114,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",Vascular Plant,Not Protected
Adiantum aleuticum,Great Smoky Mountains National Park,112,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",Vascular Plant,Not Protected
Adiantum aleuticum,Yellowstone National Park,231,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",Vascular Plant,Not Protected
Adiantum aleuticum,Yosemite National Park,152,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",Vascular Plant,Not Protected
Adiantum jordanii,Bryce National Park,93,"California Maidenhair, California Maidenhair Fern",Vascular Plant,Not Protected
Adiantum jordanii,Great Smoky Mountains National Park,62,"California Maidenhair, California Maidenhair Fern",Vascular Plant,Not Protected
Adiantum jordanii,Yellowstone National Park,249,"California Maidenhair, California Maidenhair Fern",Vascular Plant,Not Protected
Adiantum jordanii,Yosemite National Park,155,"California Maidenhair, California Maidenhair Fern",Vascular Plant,Not Protected
Adiantum pedatum,Bryce National Park,94,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",Vascular Plant,Not Protected
Adiantum pedatum,Great Smoky Mountains National Park,110,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",Vascular Plant,Not Protected
Adiantum pedatum,Yellowstone National Park,241,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",Vascular Plant,Not Protected
Adiantum pedatum,Yosemite National Park,127,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",Vascular Plant,Not Protected
Adlumia fungosa,Bryce National Park,69,Climbing Fumitory,Vascular Plant,Not Protected
Adlumia fungosa,Great Smoky Mountains National Park,53,Climbing Fumitory,Vascular Plant,Not Protected
Adlumia fungosa,Yellowstone National Park,246,Climbing Fumitory,Vascular Plant,Not Protected
Adlumia fungosa,Yosemite National Park,144,Climbing Fumitory,Vascular Plant,Not Protected
Adoxa moschatellina,Bryce National Park,121,Muskroot,Vascular Plant,Not Protected
Adoxa moschatellina,Great Smoky Mountains National Park,86,Muskroot,Vascular Plant,Not Protected
Adoxa moschatellina,Yellowstone National Park,250,Muskroot,Vascular Plant,Not Protected
Adoxa moschatellina,Yosemite National Park,155,Muskroot,Vascular Plant,Not Protected
Aechmophorus clarkii,Bryce National Park,99,Clark's Grebe,Bird,Not Protected
Aechmophorus clarkii,Great Smoky Mountains National Park,68,Clark's Grebe,Bird,Not Protected
Aechmophorus clarkii,Yellowstone National Park,244,Clark's Grebe,Bird,Not Protected
Aechmophorus clarkii,Yosemite National Park,166,Clark's Grebe,Bird,Not Protected
Aechmophorus occidentalis,Bryce National Park,80,Western Grebe,Bird,Species of Concern
Aechmophorus occidentalis,Great Smoky Mountains National Park,64,Western Grebe,Bird,Species of Concern
Aechmophorus occidentalis,Yellowstone National Park,233,Western Grebe,Bird,Species of Concern
Aechmophorus occidentalis,Yosemite National Park,132,Western Grebe,Bird,Species of Concern
Aegilops cylindrica,Bryce National Park,76,Jointed Goatgrass,Vascular Plant,Not Protected
Aegilops cylindrica,Great Smoky Mountains National Park,66,Jointed Goatgrass,Vascular Plant,Not Protected
Aegilops cylindrica,Yellowstone National Park,245,Jointed Goatgrass,Vascular Plant,Not Protected
Aegilops cylindrica,Yosemite National Park,149,Jointed Goatgrass,Vascular Plant,Not Protected
Aegolius,Bryce National Park,95,Saw-Whet Owls,Bird,Not Protected
Aegolius,Great Smoky Mountains National Park,42,Saw-Whet Owls,Bird,Not Protected
Aegolius,Yellowstone National Park,263,Saw-Whet Owls,Bird,Not Protected
Aegolius,Yosemite National Park,191,Saw-Whet Owls,Bird,Not Protected
Aegolius acadicus,Bryce National Park,131,Northern Saw-Whet Owl,Bird,Not Protected
Aegolius acadicus,Great Smoky Mountains National Park,86,Northern Saw-Whet Owl,Bird,Not Protected
