scientific_name,common_names,category,conservation_status
Achnatherum richardsonii,"Richardson Needlegrass, Richardson's Needlegrass",Vascular Plant,
Achnatherum thurberianum,Thurber's Needlegrass,Vascular Plant,
Aconitum columbianum,Columbian Monkshood,Vascular Plant,
Aconitum columbianum ssp. columbianum,Columbian Monkshood,Vascular Plant,
Aconitum uncinatum,"Monk's Hood, Blue Monkshood",Vascular Plant,
Acorus calamus,Sweetflag,Vascular Plant,
Acris crepitans crepitans,Northern Cricket Frog,Amphibian,
Acrobolbus ciliatus,Acrobolbus,Nonvascular Plant,
Actaea pachypoda,White Baneberry,Vascular Plant,
Actaea rubra,"Red Baneberry, Western Baneberry",Vascular Plant,
Actitis macularia,Spotted Sandpiper,Bird,
Actitis macularius,Spotted Sandpiper,Bird,
Adenocaulon bicolor,American Trailplant,Vascular Plant,
Adenostoma fasciculatum,Chamise,Vascular Plant,
Adiantum aleuticum,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",Vascular Plant,
Adiantum jordanii,"California Maidenhair, California Maidenhair Fern",Vascular Plant,
Adiantum pedatum,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",Vascular Plant,
Adlumia fungosa,Climbing Fumitory,Vascular Plant,
Adoxa moschatellina,Muskroot,Vascular Plant,
Aechmophorus clarkii,Clark's Grebe,Bird,
Aechmophorus occidentalis,Western Grebe,Bird,Species of Concern
Aegilops cylindrica,Jointed Goatgrass,Vascular Plant,
Aegolius,Saw-Whet Owls,Bird,
Aegolius acadicus,Northern Saw-Whet Owl,Bird,
Aegolius funereus,Boreal Owl,Bird,
Aegopodium podagraria,"Bishops Goutweed, Old Man's Beard",Vascular Plant,
Aeronautes saxatalis,White-Throated Swift,Bird,
Aesculus californica,California Buckeye,Vascular Plant,
Aesculus flava,Yellow Buckeye,Vascular Plant,
Aesculus glabra,Ohio Buckeye,Vascular Plant,
Aesculus pavia,Red Buckeye,Vascular Plant,
Aesculus sylvatica,Painted Buckeye,Vascular Plant,
Agalinis purpurea,"Large-Purple False-Foxglove, Purple Gerardia",Vascular Plant,
Agalinis setacea,"Narrow-Leaved Gerardia, Thread-Leaved Gerardia",Vascular Plant,
Agalinis tenuifolia,"Slender False-Foxglove, Slender Gerardia",Vascular Plant,
Agastache nepetoides,"Giant Hyssop, Hyssop",Vascular Plant,
Agastache scrophulariifolia,"Giant Hyssop, Purple Giant Hyssop",Vascular Plant,
Agastache urticifolia,"Horsemint Giant Hyssop, Nettleleaf Giant Hyssop",Vascular Plant,
Agelaius phoeniceus,Red-Winged Blackbird,Bird,
Ageratina altissima,White Snakeroot,Vascular Plant,
Ageratina altissima var. altissima,White Snakeroot,Vascular Plant,
Ageratina altissima var. roanensis,White Snakeroot,Vascular Plant,
Ageratina aromatica var. aromatica,Lesser Snakeroot,Vascular Plant,
Ageratina occidentalis,"Western Eupatorium, Western Joepyeweed, Western Snakeroot",Vascular Plant,
Agkistrodon contortrix mokasen,Northern Copperhead,Reptile,
Agoseris aurantiaca,"Orange Agoseris, Orange-Flowered False-Dandelion",Vascular Plant,
Agoseris elata,Tall Agoseris,Vascular Plant,
Agoseris glauca var. dasycephala,"Pale Agoseris, Pale Goat-Chicory",Vascular Plant,
Agoseris glauca var. glauca,Pale Agoseris,Vascular Plant,
Agoseris glauca var. laciniata,"Arizona Mountain Dandelion, False Agoseris",Vascular Plant,
Agoseris glauca var. monticola,Pale Agoseris,Vascular Plant,
Agoseris grandiflora,"Bigflower Agoseris, Shortbeak Agoseris",Vascular Plant,
Agoseris heterophylla,"Annual Agoseris, Annual Goatsbeard, Mountain Dandelion",Vascular Plant,
Agoseris lackschewitzii,Mill Creek Agoseris,Vascular Plant,
Agoseris retrorsa,Spearleaf Agoseris,Vascular Plant,
Agrimonia gryposepala,"Large-Fruited Agrimony, Tall Hairy Groovebur",Vascular Plant,
Agrimonia microcarpa,Smallfruit Agrimony,Vascular Plant,
Agrimonia parviflora,"Small-Flower Groovebur, Small-Flowered Agrimony",Vascular Plant,
Agrimonia pubescens,"Hairy Agrimony, Soft Groovebur",Vascular Plant,
Agrimonia rostellata,"Beaked Agrimony, Woodland Agrimony",Vascular Plant,
Agrostemma githago,"Common Corncockle, Corncockle",Vascular Plant,
Agrostis capillaris,"Colonial Bent, Colonial Bentgrass, Rhode Island Bent",Vascular Plant,
Agrostis elliottiana,"Elliott Bentgrass, Elliott's Bentgrass",Vascular Plant,
Agrostis exarata,Spike Bentgrass,Vascular Plant,
Agrostis gigantea,"Black Bent, Redtop, Water Bentgrass, Redtop",Vascular Plant,
Agrostis humilis,"Alpine Bentgrass, Mountain Bent Grass",Vascular Plant,
Agrostis hyemalis,"Hairgrass, Winter Bentgrass",Vascular Plant,
Agrostis idahoensis,"Idaho Bentgrass, Idaho Redtop",Vascular Plant,
Agrostis mertensii,"Northern Agrostis, Arctic Bentgrass, Northern Bentgrass",Vascular Plant,
Agrostis oregonensis,"Oregon Bentgrass, Oregon Redtop",Vascular Plant,
Agrostis pallens,Seashore Bentgrass,Vascular Plant,
Agrostis perennans,"Perenial Bentgrass, Upland Bent",Vascular Plant,
Agrostis rossiae,"Mountain Bentgrass, Ross' Bentgrass",Vascular Plant,
Agrostis scabra,"Rough Bent, Rough Bentgrass, Ticklegrass, Rough Bentgrass, Rough Hairgrass",Vascular Plant,
Agrostis scabra var. scabra,Rough Bentgrass,Vascular Plant,
Agrostis stolonifera,"Carpet Bentgrass, Creeping Bent, Creeping Bentgrass, Redtop, Redtop Bent, Seaside Bentgrass, Spreading Bent, Creeping Bentgrass",Vascular Plant,
Agrostis thurberiana,Thurber's Bentgrass,Vascular Plant,
Agrostis variabilis,"Mountain Bentgrass, Mountain Redtop, Mountain Bentgrass",Vascular Plant,
Ailanthus altissima,Tree-Of-Heaven,Vascular Plant,
Aimophila aestivalis,Bachman's Sparrow,Bird,Species of Concern
Aimophila ruficeps,Rufous-Crowned Sparrow,Bird,
Aira caryophyllea,Silver Hairgrass,Vascular Plant,
Aix sponsa,Wood Duck,Bird,
Ajuga reptans,"Bugleweed, Carpet-Bugel",Vascular Plant,
Albizia julibrissin,"Mimosa, Silk Tree",Vascular Plant,
Alcea rosea,Hollyhock,Vascular Plant,
Alces alces,"Eurasian Elk, Moose",Mammal,
Alces alces shirasi,Yellowstone Moose,Mammal,
Alectoris chukar,"Chukar, Chukar, Chukar Partridge",Bird,
Aletris farinosa,"Colic Root, White-Tubed Colicroot",Vascular Plant,
Alisma plantago-aquatica,"American Waterplantain, European Water Plantain",Vascular Plant,
Alisma subcordatum,Water-Plantain,Vascular Plant,
Alisma triviale,"Northern Water Plantain, Northern Water-Plantain",Vascular Plant,
Alliaria petiolata,Garlic Mustard,Vascular Plant,
Allium ampeloprasum,"Garlic, Wild Leek",Vascular Plant,
Allium amplectens,Narrowleaf Onion,Vascular Plant,
Allium bisceptrum var. bisceptrum,Twincrest Onion,Vascular Plant,
Allium brandegeei,Brandegee's Onion,Vascular Plant,
Allium brevistylum,Shortstyle Onion,Vascular Plant,
Allium burdickii,"White-Stemmed Ramps, Leeks",Vascular Plant,
Allium campanulatum,"Dusky Onion, Sierra Onion",Vascular Plant,
Allium canadense,"Meadow Onion, Wild Garlic",Vascular Plant,
Allium cernuum,Nodding Onion,Vascular Plant,
Allium cernuum var. cernuum,Nodding Onion,Vascular Plant,
Allium geyeri var. tenerum,Bulbil Onion,Vascular Plant,
Allium hyalinum,Glassy Onion,Vascular Plant,
Allium obtusum,"Red Sierra Onion, Red Sierran Onion",Vascular Plant,
Allium obtusum var. conspicuum,Red Sierra Onion,Vascular Plant,
Allium obtusum var. obtusum,"Red Sierra Onion, Red Sierran Onion",Vascular Plant,
Allium schoenoprasum,"Wild Chive, Wild Chives",Vascular Plant,
Allium textile,"Prairie Onion, Textile Onion, Wild Onion",Vascular Plant,
Allium tribracteatum,Threebract Onion,Vascular Plant,Species of Concern
Allium tricoccum,"Ramps, Wild Leeks, Small White Leek",Vascular Plant,
Allium validum,"Pacific Onion, Swamp Onion",Vascular Plant,
Allium vineale,Field Garlic,Vascular Plant,
Allium yosemitense,Yosemite Onion,Vascular Plant,
Allophyllum divaricatum,Purple False Gilyflower,Vascular Plant,
Allophyllum gilioides ssp. gilioides,"Dense False Gilia, Dense False Gilyflower",Vascular Plant,
Allophyllum gilioides ssp. violaceum,"Dense False Gilia, Dense False Gilyflower",Vascular Plant,
Allophyllum integrifolium,"Mountain False Gilia, White False Gilyflower",Vascular Plant,
Allotropa virgata,Sugarstick,Vascular Plant,
Alnus incana ssp. tenuifolia,"Mountain Alder, Speckled Alder, Thinleaf Alder",Vascular Plant,
Alnus rhombifolia,"Rhombie Leaf Alder, White Alder",Vascular Plant,
Alnus serrulata,"Brook-Side Alder, Common Alder",Vascular Plant,
Alopecurus aequalis,"Short Foxtail, Shortawn Foxtail, Short-Awn Meadow-Foxtail",Vascular Plant,
Alopecurus arundinaceus,"Creeping Foxtail, Creeping Meadow Foxtail, Creeping Meadow-Foxtail",Vascular Plant,
Alopecurus borealis,Boreal Alopecurus,Vascular Plant,
Alopecurus carolinianus,"Carolina Foxtail, Tufted Foxtail",Vascular Plant,
Alopecurus pratensis,"Field Meadow-Foxtail, Meadow Foxtail",Vascular Plant,
Alyssum alyssoides,"Pale Alyssum, Pale Madwort, Yellow Alyssum",Vascular Plant,
Alyssum desertorum,"Desert Alyssum, Desert Madwort",Vascular Plant,
Amaranthus albus,"Pigweed, Pigweed Amaranth, Prostrate Pigweed, Tumble Pigweed, Tumbleweed, White Pigweed, White Amaranthus, White Pigweed",Vascular Plant,
Amaranthus blitoides,"Mat Amaranth, Prostrate Amaranth, Prostrate Pigweed",Vascular Plant,
Amaranthus californicus,"California Amaranth, California Pigweed",Vascular Plant,
Amaranthus hybridus,"Amaranthus, Smooth Amaranth",Vascular Plant,
Amaranthus retroflexus,"Green Amaranthus, Red-Root Amaranth, Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",Vascular Plant,
Amaranthus spinosus,"Spiny Amaranth, Spiny Amaranthus",Vascular Plant,
Ambloplites rupestris,Rock Bass,Fish,
Amblystegium serpens,Amblystegium Moss,Nonvascular Plant,
Amblystegium varium,Amblystegium Moss,Nonvascular Plant,
Ambrosia artemisiifolia,"Annual Ragweed, Common Ragweed, Low Ragweed, Ragweed, Roman Wormwood, Short Ragweed, Small Ragweed, Annual Ragweed, Common Ragweed",Vascular Plant,
Ambrosia bidentata,Lanceleaf Ragweed,Vascular Plant,
Ambrosia psilostachya,"Cuman Ragweed, Perennial Ragweed, Western Ragweed",Vascular Plant,
Ambrosia trifida,"Giant Ragweed, Great Ragweed",Vascular Plant,
Ambystoma maculatum,Spotted Salamander,Amphibian,
Ambystoma mavortium melanostictum,Blotched Tiger Salamander,Amphibian,
Ambystoma opacum,Marbled Salamander,Amphibian,
Ambystoma talpoideum,Mole Salamander,Amphibian,
Ameiurus melas,Black Bullhead,Fish,
Ameiurus natalis,Yellow Bullhead,Fish,
Amelanchier alnifolia var. alnifolia,"Saskatoon Serviceberry, Saskatoon Service-Berry",Vascular Plant,
Amelanchier alnifolia var. pumila,Dwarf Serviceberry,Vascular Plant,
Amelanchier arborea,"Downy Serviceberry, Hairy-Leaf Shadbush",Vascular Plant,
Amelanchier canadensis,Canadian Serviceberry,Vascular Plant,
Amelanchier laevis,"Allegheny Serviceberry, Allegheny Service-Berry",Vascular Plant,
Amelanchier sanguinea,"Roundleaf Shadbush, Round-Leaved Shadbush",Vascular Plant,
Amelanchier utahensis,"Utah Serviceberry, Utah Shadberry, Western Serviceberry",Vascular Plant,
Amianthium muscitoxicum,Fly Poison,Vascular Plant,
Ammannia coccinea,"Ammannia, Tooth-Cup",Vascular Plant,
Ammodramus henslowii,Henslow's Sparrow,Bird,
Ammodramus leconteii,Le Conte's Sparrow,Bird,
Ammodramus savannarum,Grasshopper Sparrow,Bird,Species of Concern
Ammoselinum butleri,Butler's Sandparsley,Vascular Plant,
Amorpha fruticosa,"False Indigo, False Indigo-Bush",Vascular Plant,
Amorpha georgiana,Georgia Leadplant,Vascular Plant,
Amorpha glabra,"Smooth False Indigo, Smooth Indigobush",Vascular Plant,
Ampelopsis arborea,"Peppervine, Pepper-Vine",Vascular Plant,
Ampelopsis cordata,Peppervine,Vascular Plant,
Amphicarpaea bracteata,"American Hog-Peanut, Hog-Peanut",Vascular Plant,
Amphidium mougeotii,Mougeot's Amphidium Moss,Nonvascular Plant,
Amphispiza bilineata,Black-Throated Sparrow,Bird,
Amsinckia lycopsoides,"Bugloss Fiddleneck, Tarweed Fiddleneck",Vascular Plant,
Amsinckia menziesii,"Menzies' Fiddleneck, Smallflower Fiddleneck, Small-Flower Fiddleneck",Vascular Plant,
Amsinckia menziesii var. intermedia,"Coast Buckthorn, Coast Fiddleneck, Common Fiddleneck, Intermediate Fiddleneck",Vascular Plant,
Amsinckia menziesii var. menziesii,"Menzies' Fiddleneck, Rigid Fiddleneck",Vascular Plant,
Amsonia tabernaemontana var. tabernaemontana,Eastern Bluestar,Vascular Plant,
Anacamptodon splachnoides,Anacamptodon Moss,Nonvascular Plant,
Anagallis arvensis,"Scarlet Pimpernel, Pimpernel, Scarlet Pimpernel",Vascular Plant,
Anagallis minima,Chaffweed,Vascular Plant,
Anaphalis margaritacea,"Common Pearlyeverlasting, Pearly Everlasting, Pearly-Everlasting, Western Pearly Everlasting, Western Pearlyeverlasting",Vascular Plant,
Anas acuta,Northern Pintail,Bird,
Anas americana,American Wigeon,Bird,
Anas clypeata,Northern Shoveler,Bird,
Anas crecca,Green-Winged Teal,Bird,
Anas cyanoptera,Cinnamon Teal,Bird,
Anas discors,Blue-Winged Teal,Bird,
Anas penelope,Eurasian Wigeon,Bird,
Anas platyrhynchos,Mallard,Bird,
Anas rubripes,American Black Duck,Bird,
Anas strepera,Gadwall,Bird,
Anastrophyllum helleranum,Heller's Anastrophyllum,Nonvascular Plant,
Anastrophyllum michauxii,Michaux's Anastrophyllum,Nonvascular Plant,
Anastrophyllum minutum,Anastrophyllum,Nonvascular Plant,
Anastrophyllum saxicola,Anastrophyllum,Nonvascular Plant,
Anaxyrus boreas boreas,Boreal Toad,Amphibian,
Anaxyrus boreas halophilus,California Toad (Western Toad),Amphibian,
Anaxyrus canorus,Yosemite Toad,Amphibian,Threatened
Andreaea rothii,Roth's Andreaea Moss,Nonvascular Plant,
Andreaea rupestris,Andreaea Moss,Nonvascular Plant,
Andropogon gerardii,Big Bluestem,Vascular Plant,
Andropogon glomeratus,"Bushy Bluestem, Marsh Broomsedge",Vascular Plant,
Andropogon gyrans var. gyrans,"Elliott Bluestem, Elliott's Bluestem",Vascular Plant,
Andropogon ternarius,Silver Bluestem,Vascular Plant,
Andropogon virginicus,"Broom-Sedge, Virginia Broomsedge",Vascular Plant,
Andropogon virginicus var. virginicus,"Broomsedge, Broomsedge Bluestem",Vascular Plant,
Androsace filiformis,"Filiform Rockjasmine, Slender Rockjasmine, Slender-Stemmed Androsace",Vascular Plant,
Androsace occidentalis,"Western Rockjasmine, Western Rock-Jasmine",Vascular Plant,
Androsace septentrionalis ssp. subumbellata,Pygmyflower Rockjasmine,Vascular Plant,
Aneides lugubris,Arboreal Salamander,Amphibian,
Anelsonia eurycarpa,"Broad Pod Anelsonia, Daggerpod",Vascular Plant,
Anemone drummondii,Drummond's Anemone,Vascular Plant,
Anemone lancifolia,"Lance-Leaved Wood Anemone, Mountain Thimble-Weed",Vascular Plant,
Anemone occidentalis,White Pasqueflower,Vascular Plant,
Anemone parviflora,Smallflowered Anemone,Vascular Plant,
Anemone patens var. multifida,Cutleaf Anemone,Vascular Plant,
Anemone quinquefolia,Wood Anemone,Vascular Plant,
Anemone tetonensis,Teton Anemone,Vascular Plant,
Anemone virginiana,"Thimbleweed, Virginia Anemone",Vascular Plant,
Aneura pinguis,Aneura,Nonvascular Plant,
Angelica arguta,"Angelica, Lyall's Angelica, Sharptooth Angelica",Vascular Plant,
Angelica atropurpurea,Purplestem Angelica,Vascular Plant,
Angelica breweri,Brewer's Angelica,Vascular Plant,
Angelica lineariloba,"Poison Angelica, Sierra Angelica",Vascular Plant,
Angelica pinnata,"Smallleaf Angelica, Small-Leaf Angelica",Vascular Plant,
Angelica roseana,Rose Angelica,Vascular Plant,
Angelica triquinata,Filmy Angelica,Vascular Plant,
Angelica venenosa,Hairy Angelica,Vascular Plant,
Anoectangium aestivum,Anoectangium Moss,Nonvascular Plant,
Anolis carolinensis carolinensis,Northern Green Anole,Reptile,
Anomobryum filiforme,Filiform Anomobryum Moss,Nonvascular Plant,
Anomodon attenuatus,Anomodon Moss,Nonvascular Plant,
Anomodon minor,Anomodon Moss,Nonvascular Plant,
Anomodon rostratus,Anomodon Moss,Nonvascular Plant,
Anomodon rugelii,Rugel's Anomodon Moss,Nonvascular Plant,
Anomodon viticulosus,Anomodon Moss,Nonvascular Plant,
Anser albifrons,Greater White-Fronted Goose,Bird,
Antennaria anaphaloides,"Pearly Pussytoes, Pussytoes, Tall Everlasting",Vascular Plant,
Antennaria argentea,"Silver Pussytoes, Silvery Pussytoes",Vascular Plant,
Antennaria aromatica,Scented Pussytoes,Vascular Plant,
Antennaria corymbosa,"Flattop Pussytoes, Flat-Top Pussytoes, Meadow Everlasting",Vascular Plant,
Antennaria dimorpha,"Low Everlasting, Low Pussytoes",Vascular Plant,
Antennaria flagellaris,"Stoloniferous Pussy-Toes, Whip Pussytoes",Vascular Plant,
Antennaria lanata,Woolly Pussytoes,Vascular Plant,
Antennaria luzuloides,Rush Pussytoes,Vascular Plant,
Antennaria media,Rocky Mountain Pussytoes,Vascular Plant,
Antennaria microphylla,"Littleleaf Pussytoes, Rocky Mountain Pussytoes, Small Leaf Everlasting, Smallleaf Pussytoes",Vascular Plant,
Antennaria neglecta,"Field Pussy Toes, Field Pussytoes",Vascular Plant,
Antennaria parlinii ssp. fallax,Parlin's Pussytoes,Vascular Plant,
Antennaria parvifolia,Smallleaf Pussytoes,Vascular Plant,
Antennaria plantaginifolia,"Plantain-Leaf Pussytoes, Plantain-Leaved Pussy Toes",Vascular Plant,
Antennaria pulcherrima,Showy Pussytoes,Vascular Plant,
Antennaria racemosa,Raceme Pussytoes,Vascular Plant,
Antennaria rosea,"Rosy Pussytoes, Rosy Pussy-Toes",Vascular Plant,
Antennaria rosea ssp. confinis,Rosy Pussytoes,Vascular Plant,
Antennaria solitaria,"Single-Head Pussytoes, Solitary Pussy Toes",Vascular Plant,
Antennaria umbrinella,"Brown Everlasting, Umber Pussytoes",Vascular Plant,
Anthemis arvensis,"Corn Camomile, Corn-Chamomile",Vascular Plant,
Anthemis cotula,"Chamomile, Dog Fennel, Dogfennel, Mayweed, Mayweed Chamomile, Mayweed Dogfennel, Stinking Chamomile, Stinkweed, Mayweed, Stinking Chamomile",Vascular Plant,
Anthemis tinctoria,Golden Chamomile,Vascular Plant,
Anthoxanthum odoratum,Sweet Vernal Grass,Vascular Plant,
Anthriscus caucalis,"Bur Chervil, Burr Chervil",Vascular Plant,
Anthus rubescens,"American Pipit, Water Pipit",Bird,
Anthus spinoletta,Water Pipit,Bird,
Antilocapra americana,"Antelope, Pronghorn",Mammal,
Antrozous pallidus,"Pallid Bat, Pallid Bat",Mammal,Species of Concern
Apalone spinifera spinifera,"Eastern Spiny Softshell, Northern Spiny Softshell Turtle",Reptile,
Apera interrupta,"Dense Silkybent, Dense Silky-Bent, Silky Bentgrass",Vascular Plant,
Aphanes microcarpa,Alchemilla,Vascular Plant,
Aphanorrhegma serratum,Serrate Aphanorrhegma Moss,Nonvascular Plant,
Aphelocoma californica,Western Scrub-Jay,Bird,
Apios americana,"American Groundnut, Ground-Nut",Vascular Plant,
Aplectrum hyemale,"Adam-And-Eve Orchid, Puttyroot",Vascular Plant,
Aplodinotus grunniens,Freshwater Drum,Fish,
Aplodontia rufa californica,Sierra Nevada Mountain Beaver,Mammal,Species of Concern
Apocynum androsaemifolium,"Bitterroot, Flytrap Dogbane, Spreading Dogbane, Spreading Dogbane",Vascular Plant,
Apocynum cannabinum,"Clasping-Leaf Dogbane, Indianhemp, Common Dogbane, Dogbane, Hemp Dogbane, Indian Hemp, Indian-Hemp, Prairie Dogbane",Vascular Plant,
Apocynum cannabinum var. cannabinum,Indian Hemp,Vascular Plant,
Apometzgeria pubescens,Apometzgeria,Nonvascular Plant,
Aquila chrysaetos,Golden Eagle,Bird,Species of Concern
Aquilegia canadensis,"Columbine, Wild Columbine",Vascular Plant,
Aquilegia coerulea,Colorado Blue Columbine,Vascular Plant,
Aquilegia flavescens,Yellow Columbine,Vascular Plant,
Aquilegia formosa,"Crimson Columbine, Western Columbine",Vascular Plant,
Aquilegia pubescens,Sierra Columbine,Vascular Plant,
Aquilegia vulgaris,European Columbine,Vascular Plant,
Arabidopsis thaliana,"Mouse-Ear Cress, Wall-Cress, Mouseear Cress, Mouse-Ear Cress",Vascular Plant,
Arabis X divaricarpa,"Spreading Rockcress, Spreadingpod Rockcress",Vascular Plant,
Arabis canadensis,Sicklepod,Vascular Plant,
Arabis davidsonii,Davidson's Rockcress,Vascular Plant,
Arabis drummondii,"Canadian Rockcress, Drummond Rockcress, Drummond's Rockcress",Vascular Plant,
Arabis glabra var. glabra,"Rock Cress, Tower Rockcress",Vascular Plant,
Arabis hirsuta var. glabrata,Mountain Rockcress,Vascular Plant,
Arabis hirsuta var. pycnocarpa,"Creamflower Rockcress, Hairy Rockcress",Vascular Plant,
Arabis holboellii var. pendulocarpa,Dropseed Rockcress,Vascular Plant,
Arabis holboellii var. pinetorum,Holboell's Rockcress,Vascular Plant,
Arabis holboellii var. retrofracta,"A Holboell Rock-Cress, Second Rockcress",Vascular Plant,
Arabis inyoensis,Inyo Rockcress,Vascular Plant,
Arabis laevigata,Smooth Rockcress,Vascular Plant,
Arabis laevigata var. burkii,"Burk's Rockcress, Porter's Rockcress",Vascular Plant,
Arabis laevigata var. laevigata,Smooth Rockcress,Vascular Plant,
Arabis lemmonii var. depauperata,Soldier Rockcress,Vascular Plant,
Arabis lemmonii var. lemmonii,Lemmon's Rockcress,Vascular Plant,
Arabis lyallii var. lyallii,Lyall's Rockcress,Vascular Plant,
Arabis lyallii var. nubigena,Lyall's Rockcress,Vascular Plant,
Arabis lyrata,"Lyre-Leaf Rockcress, Lyre-Leaved Rockcress",Vascular Plant,
Arabis patens,Spreading Rockcress,Vascular Plant,
Arabis platysperma var. howellii,Howell's Pioneer Rockcress,Vascular Plant,
Arabis platysperma var. platysperma,Pioneer Rockcress,Vascular Plant,
Arabis rectissima var. rectissima,Bristlyleaf Rockcress,Vascular Plant,
Arabis repanda var. greenei,Greene's Rockcress,Vascular Plant,
Arabis repanda var. repanda,Yosemite Rockcress,Vascular Plant,
Arabis sparsiflora var. arcuata,Elegant Rockcress,Vascular Plant,
Aralia californica,California Spikenard,Vascular Plant,
Aralia nudicaulis,Wild Sarsaparilla,Vascular Plant,
Aralia racemosa,"American Spikenard, Wild Spikenard",Vascular Plant,
Aralia spinosa,"Devil's Walking Stick, Hercules Club",Vascular Plant,
Arceuthobium abietinum,Fir Dwarf Mistletoe,Vascular Plant,
Arceuthobium americanum,"American Dwarf Mistletoe, Lodgepole Pine Dwarf Mistletoe",Vascular Plant,
Arceuthobium californicum,Sugar Pine Dwarf Mistletoe,Vascular Plant,
Arceuthobium campylopodum,Western Dwarf Mistletoe,Vascular Plant,
Arceuthobium cyanocarpum,Limber Pine Dwarf Mistletoe,Vascular Plant,
Arceuthobium occidentale,"Digger Pine Dwarf Mistletoe, Gray Pine Dwarf Mistletoe",Vascular Plant,
Archilochus alexandri,Black-Chinned Hummingbird,Bird,
Archilochus colubris,Ruby-Throated Hummingbird,Bird,
Arctium lappa,"Great Burdock, Greater Burdock, Greater Burrdock, Woodland Burdock",Vascular Plant,
Arctium minus,"Lesser Burdock, Lesser Burrdock, Beggar's Button, Burdock, Common Burdock, Lesser Burdock, Lesser Burrdock, Small Burdock, Smaller Burdock, Wild Burdock, Wild Rhubarb",Vascular Plant,
Arctoa fulvella,Arctoa Moss,Nonvascular Plant,
Arctostaphylos nevadensis,Pinemat Manzanita,Vascular Plant,
Arctostaphylos uva-ursi,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",Vascular Plant,
Arctostaphylos viscida ssp. mariposa,Mariposa Manzanita,Vascular Plant,
Arctostaphylos viscida ssp. viscida,"Sticky Whiteleaf Manzanita, Whiteleaf Manzanita",Vascular Plant,
Ardea alba,Great Egret,Bird,
